,page_id,title,rank
0,155942,inverse (logic),0.7369037003468105
1,875027,official script,12.17990536004968
2,1060572,târnăveni,2.747086332652388
3,165507,avril lavigne,13.927324565876129
4,212390,tilde,49.816919702253735
5,555750,permeable paving,7.868859597126563
6,78404,aglaurus,0.4590764359755776
7,13069006,quebec route 209,1.8013981857710517
8,7607935,interstate 66 (kansas–kentucky),0.597712554871495
9,16472,jet stream,18.89128507247988
10,4854903,malcom mclean,1.1801634547094926
11,810528,paulini,1.7062819449805993
12,9378087,robert pickton,0.8698419718537476
13,2204223,avobenzone,1.50813423765026
14,252701,mister ed,2.1905047282028143
15,1766613,coca-cola cherry,0.7417540187065557
16,707615,portal hypertension,9.158707750355456
17,42882,cosmogony,13.213017844340293
18,69386,groote eylandt,3.0850578037455785
19,386111,general motors streetcar conspiracy,2.820731045729115
20,153990,port wine,16.287780626761588
21,12305001,jerry yang (poker player),1.8017585278331048
22,43478389,peter john byrne,1.8305235964011135
23,1175448,cumberland valley,10.256509118854602
24,867323,digital revolution,31.08585700847823
25,1868140,unreal tournament 3,1.4861230640127552
26,1690187,may wedderburn cannan,0.3049206187471327
27,1452496,wwiv,0.7340607573802433
28,8894036,sida fallax,0.6603814755078877
29,2936775,reichsthaler,3.1561981726538377
30,7819359,two-party-preferred vote,19.08407299820837
31,6371949,murphy jensen,2.0205450568858017
32,597006,open front rounded vowel,32.14728206008537
33,237818,harold stassen,10.738631821588486
34,1511495,genesis rock,0.5030632366764711
35,21146694,harar meda airport,0.2157743462350592
36,5321767,takashi hirano,0.5813342138945158
37,240972,white hole,2.3051365767579255
38,21304377,love must be tough,0.2002076053269137
39,7038275,wblf,1.0036470180692154
40,2001801,european aviation air charter,0.547497648554557
41,426865,united airlines flight 232,2.2252719718220546
42,21319499,2009 malagasy political crisis,5.845159257838562
43,1006274,headspace (firearms),2.3701447261668984
44,28258944,2010 thai league cup,1.1952920325882164
45,10853924,georg arnold-graboné,0.15906984678096
46,5208907,islands of calleja,0.1970963231494275
47,407249,divisor function,4.50966519007314
48,362922,masoretes,4.665866789853252
49,6779451,newswatch (philippine tv program),0.6217980908631205
50,814490,henchman,1.961982939880832
51,20453,meconium,2.102025654525568
52,17387,knights of labor,6.390300543035085
