,page_id,revision_id,revision_id.key,has_template,revision_text_bytes,stems_length,category_links,cite_templates,cn_templates,images_in_tags,infobox_templates,paragraphs_without_refs,shortened_footnote_templates,who_templates,words_to_watch_matches,revision_words,revision_chars,revision_content_chars,external_links,headings_by_level(2),ref_tags,revision_templates,revision_wikilinks,article_quality_score,idf
0,14082953,169325023,169326357,1.0,1430.0,586.0,0.0,3.0,0.0,0.0,0.0,186.0,0.0,0.0,2.0,124.0,1418.0,494.0,3.0,2.0,3.0,4.0,8.0,Stub,13.996143857119613
1,34382641,471443762,471445798,1.0,1129.0,656.0,2.0,0.0,0.0,0.0,1.0,1127.0,0.0,0.0,0.0,132.0,1129.0,348.0,1.0,0.0,0.0,5.0,16.0,Stub,15.605581769553712
2,4700456,316742249,316737182,0.0,34.0,22.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,3.0,34.0,29.0,0.0,0.0,0.0,0.0,1.0,Stub,15.605581769553712
3,14918546,369039168,378371880,1.0,92612.0,57932.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,12681.0,90272.0,67174.0,39.0,16.0,129.0,66.0,598.0,B,12.204384387891558
4,31128803,417908195,417906997,0.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,19.0,14.0,0.0,0.0,0.0,0.0,1.0,Stub,14.506969480885603
5,5080453,319175571,318845177,0.0,4323.0,2350.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,557.0,4123.0,2637.0,2.0,4.0,2.0,25.0,32.0,Start,13.996143857119613
6,31164954,418507416,418507556,1.0,196.0,114.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,26.0,193.0,123.0,0.0,0.0,0.0,2.0,3.0,Stub,13.813822300325658
7,8025116,91627122,91895124,1.0,1563.0,847.0,4.0,0.0,0.0,0.0,1.0,1561.0,0.0,0.0,1.0,185.0,1563.0,387.0,0.0,1.0,0.0,4.0,30.0,Stub,14.912434588993769
8,58899228,878235325,878234953,0.0,11973.0,6059.0,5.0,11.0,0.0,0.0,0.0,3500.0,0.0,0.0,9.0,1190.0,10283.0,5531.0,14.0,6.0,17.0,36.0,33.0,C,15.605581769553712
9,22113148,279749368,279311696,0.0,3631.0,1979.0,2.0,0.0,0.0,0.0,0.0,3477.0,0.0,0.0,3.0,471.0,3489.0,2755.0,6.0,5.0,0.0,2.0,14.0,Start,12.966524439938452
10,5085523,52439369,52437265,0.0,1206.0,802.0,3.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,6.0,189.0,1206.0,1018.0,0.0,1.0,0.0,1.0,6.0,Stub,14.506969480885603
11,11390850,133181279,133126151,0.0,1057.0,602.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,0.0,0.0,135.0,1057.0,851.0,2.0,1.0,0.0,0.0,8.0,Stub,15.605581769553712
12,34382602,471446454,471443878,0.0,886.0,520.0,2.0,0.0,0.0,0.0,1.0,884.0,0.0,0.0,0.0,103.0,886.0,344.0,1.0,0.0,0.0,3.0,15.0,Stub,15.605581769553712
13,34382515,471443939,471446524,1.0,1135.0,672.0,2.0,0.0,0.0,0.0,1.0,1135.0,0.0,0.0,0.0,133.0,1135.0,374.0,1.0,0.0,0.0,6.0,16.0,Stub,14.912434588993769
